Time (s): 0
100	A: 1. 
100	B: 1. 
100	C: 1. 
Time (s): 0.0003
94	A: 1. 
4	A: 1. C: 1. 
2	A: 1. B: 1. 
96	B: 1. 
94	C: 1. 
2	B: 1. C: 1. 
Time (s): 0.0006
93	A: 1. 
4	A: 1. C: 1. 
3	A: 1. B: 1. 
93	B: 1. 
92	C: 1. 
4	B: 1. C: 1. 
Time (s): 0.0009
91	A: 1. 
4	A: 1. C: 1. 
3	A: 1. B: 1. 
2	A: 1. B: 1. C: 1. 
92	B: 1. 
91	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0012
89	A: 1. 
4	A: 1. C: 1. 
5	A: 1. B: 1. 
2	A: 1. B: 1. C: 1. 
90	B: 1. 
91	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0015
87	A: 1. 
6	A: 1. C: 1. 
5	A: 1. B: 1. 
2	A: 1. B: 1. C: 1. 
87	B: 1. 
86	C: 1. 
6	B: 1. C: 1. 
Time (s): 0.0018
84	A: 1. 
8	A: 1. C: 1. 
5	A: 1. B: 1. 
83	C: 1. 
3	A: 1. B: 1. C: 1. 
86	B: 1. 
6	B: 1. C: 1. 
Time (s): 0.0021
85	A: 1. 
7	A: 1. B: 1. 
5	A: 1. C: 1. 
86	C: 1. 
3	A: 1. B: 1. C: 1. 
84	B: 1. 
6	B: 1. C: 1. 
Time (s): 0.0024
86	A: 1. 
5	A: 1. B: 1. 
86	B: 1. 
86	C: 1. 
4	A: 1. B: 1. C: 1. 
5	A: 1. C: 1. 
5	B: 1. C: 1. 
Time (s): 0.0027
86	A: 1. 
5	A: 1. B: 1. 
5	A: 1. C: 1. 
84	B: 1. 
84	C: 1. 
4	A: 1. B: 1. C: 1. 
7	B: 1. C: 1. 
Time (s): 0.003
81	A: 1. 
82	B: 1. 
5	A: 1. B: 1. 
7	A: 1. C: 1. 
7	A: 1. B: 1. C: 1. 
80	C: 1. 
6	B: 1. C: 1. 
Time (s): 0.0033
82	A: 1. 
6	A: 1. B: 1. 
80	B: 1. 
4	A: 1. C: 1. 
8	A: 1. B: 1. C: 1. 
82	C: 1. 
6	B: 1. C: 1. 
Time (s): 0.0036
77	A: 1. 
7	A: 1. B: 1. 
77	B: 1. 
8	A: 1. C: 1. 
8	A: 1. B: 1. C: 1. 
76	C: 1. 
8	B: 1. C: 1. 
Time (s): 0.0039
76	A: 1. 
8	A: 1. B: 1. 
76	B: 1. 
8	A: 1. C: 1. 
8	A: 1. B: 1. C: 1. 
76	C: 1. 
8	B: 1. C: 1. 
Time (s): 0.0042
10	A: 1. B: 1. 
74	A: 1. 
77	B: 1. 
8	A: 1. C: 1. 
8	A: 1. B: 1. C: 1. 
79	C: 1. 
5	B: 1. C: 1. 
Time (s): 0.0045
7	A: 1. B: 1. 
77	A: 1. 
81	B: 1. 
7	A: 1. C: 1. 
9	A: 1. B: 1. C: 1. 
81	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0048
79	A: 1. 
6	A: 1. B: 1. 
81	B: 1. 
6	A: 1. C: 1. 
9	A: 1. B: 1. C: 1. 
81	C: 1. 
4	B: 1. C: 1. 
Time (s): 0.0051
75	A: 1. 
79	B: 1. 
8	A: 1. B: 1. 
7	A: 1. C: 1. 
10	A: 1. B: 1. C: 1. 
80	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0054
73	A: 1. 
77	B: 1. 
8	A: 1. B: 1. 
12	A: 1. B: 1. C: 1. 
7	A: 1. C: 1. 
78	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0057
73	A: 1. 
76	B: 1. 
13	A: 1. B: 1. C: 1. 
7	A: 1. B: 1. 
7	A: 1. C: 1. 
76	C: 1. 
4	B: 1. C: 1. 
Time (s): 0.006
71	A: 1. 
79	B: 1. 
13	A: 1. B: 1. C: 1. 
6	A: 1. B: 1. 
10	A: 1. C: 1. 
75	C: 1. 
2	B: 1. C: 1. 
Time (s): 0.0063
73	A: 1. 
77	B: 1. 
14	A: 1. B: 1. C: 1. 
6	A: 1. B: 1. 
7	A: 1. C: 1. 
76	C: 1. 
3	B: 1. C: 1. 
Time (s): 0.0066
72	A: 1. 
76	B: 1. 
14	A: 1. B: 1. C: 1. 
8	A: 1. B: 1. 
6	A: 1. C: 1. 
78	C: 1. 
2	B: 1. C: 1. 
